Title,Description,Link,Category,Subcategory,Source
Food Consumed Per Capita for Canadians (2009),"In the past two decades, Canadians have shifted towards a diet which includes more fruits and vegetables, cereal products, and nuts and beans. During this time, poultry consumption has increased, while beef and pork consumption has continued to decline. Oil and fat consumption increased through the 1990s to a peak in 1998, but has since been falling steadily. Sugar available for consumption has increased over the past two years from the record low set in 2007. On a per capita basis, the Canadian diet in 2009 included more fresh fruit and vegetables, cereals, coffee and fish compared with 2008. In contrast, per capita availability has declined for consumption of processed fruit and vegetables, juices, dairy products and meat products. Estimates on food availability have been adjusted to account for losses in cooking, storage and waste that occur in homes, restaurants and institutions while preparing and processing food. On a per capita basis, the Canadian diet in 2009 included more fresh fruit and vegetables, cereals, coffee and fish compared with 2008. Total fresh fruit intake, including citrus, reached a record 39.3 kg per person, up slightly from 2008. After reaching a record high in 2008, processed fruit in the diet fell by 2.4% in 2009. The total fresh vegetable intake, excluding potatoes, reached a record 40.7 kg per person in 2009, slightly higher than the five-year average of 38.6 kg per person.The amount of potatoes in the diet, regardless of how they were consumed, rose by 1.4% to 27.9 kg per person in 2009. This was the first increase since 2001. Per capita red meat available for consumption continued its decline in 2009, falling by 0.7% to 23.4 kg per person per year. Intake of poultry in the diet fell by 1.2% to 13.4 kg per person, similar to levels in 2006 and 2007. Canadians consumed 16.0 kg per person of dairy products, down 3.5% from 2008. Total cereal products available for consumption recovered in 2009, increasing 0.8% over 2008, following declines in the past four years. After six years of declines, the amount of sugar and syrup in the Canadian diet has risen for two years in a row, reaching 23.8 kg per person. Total oil and fat consumption continued to decline, falling to 17.9 kg per person in 2009, down by 3.6 kg from the peak of 21.4 kg per person in 1998. Coffee consumption increased 3.6% to 90.0 litres per person in 2009. The total daily intake of calories per person fell to 2358.2 calories, down by 155.0 since the peak recorded in 2001.",https://www150.statcan.gc.ca/n1/pub/21-020-x/2009001/aftertoc-aprestdm1-eng.htm,Consumption,Food Consumed,Stats Can
"Reported occasion of food consumption (2004)
","Number and percentage of persons based on reported occasions of food consumption, by age group and sex, for 2004 only",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047501,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, by age group and sex, household population aged 12 and over, Canada, provinces, territories and selected health regions (June 2005 boundaries) and peer groups
","This table contains 175392 series, with data for years 2005 - 2005 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (94 items: Canada; Newfoundland and Labrador ...) Age group (14 items: Total; 12 years and over; 15 to 19 years; 12 to 14 years; 12 to 19 years ...) Sex (3 items: Both sexes; Females; Males ...) Fruit and vegetable consumption (6 items: Total population for the variable fruit and vegetable consumption; Consume fruits and vegetables 5 to 10 times per day; Consume fruits and vegetables more than 10 times per day; Consume fruits and vegetables less than 5 times per day ...) Characteristics (8 items: Number of persons; High 95% confidence interval; number of persons; Low 95% confidence interval; number of persons; Coefficient of variation for number of persons ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310066001,Consumption,Food Consumed,Stats Can
"Health behaviour in school-aged children 2002, student response to question: How often do you usually have your meals?","This table contains 162 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 15 years; 13 years ...) Meals (3 items: Breakfast; Supper (evening meal); Lunch (midday meal) ...) Student response (9 items: Weekdays; never; Weekdays; 2 days; Weekdays; 3 days; Weekdays; 1 day ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310024901,Consumption,Food Consumed,Stats Can
"Health behaviour in school-aged children 2002, student response to question: How many times a week do you usually eat or drink these items?","This table contains 672 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 13 years; 15 years ...) Food and beverages (16 items: Fruits; Coke or other soft drinks that contain sugar; Chocolate or candy; Vegetables ...) Student response (7 items: Never; Once a week;2 to 4 days a week; Less than once a week ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310025001,Consumption,Food Consumed,Stats Can
"Health behaviour in school-aged children 2002, student response to question: How many times a week do you usually eat or drink these items? ","This table contains 1680 series, with data for years 2002 - 2002 (not all combinations necessarily have data for all years), and was last released on 2010-03-30. This table contains data described by the following dimensions (Not all combinations are available): Geography (8 items: Belgium (French speaking) ...) Sex (2 items: Males; Females ...) Age group (3 items: 11 years; 13 years; 15 years ...) Food and beverages (5 items: Fruits; Chocolate or candy; Vegetables; Coke or other soft drinks that contain sugar ...) Student response (7 items: Never; Once a week; 2 to 4 days a week; Less than once a week ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310025101,Consumption,Food Consumed,Stats Can
Location of food preparation,"Number and percentage of persons based on the location of food preparation, by age group and sex, for 2004 only.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310047601,Consumption,Food Consumed,Stats Can
Dietary habits of students in selected countries,"This table contains 10080 series, with data for years 1990 - 1998 (not all combinations necessarily have data for all years), and was last released on 2007-01-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (30 items: Austria; Belgium; Belgium (French speaking);Belgium (Flemish speaking) ...), Sex (2 items: Males; Females ...), Age group (3 items: 11 years;15 years;13 years ...), Activity (12 items: Eating fruit; Eating potato chips; crisps; Eating raw vegetables; Eating candy; chocolate bars ...), Frequency (5 items: More than once a day; Once a day; Seldom; At least once a week ...)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310019401&pickMembers%5B0%5D=1.5&pickMembers%5B1%5D=4.1,Consumption,Food Consumed,Stats Can
Eating out: How often and why?,"Eating out at restaurants or purchasing takeout food simplifies life for many Canadians. This infographic uses data from the 2016 General Social Survey on Canadians at Work and Home to provide an overview of Canadians' habits when eating out and purchasing takeout food. Concepts presented include the frequency that Canadians eat out or purchase takeout food, the main reasons for doing so, which meals are eaten out most often, and whether nutrition information influences people's purchasing decisions.","https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2019003-eng.htm
",Consumption,Food Consumed,Stats Can
"Trends and correlates of frequency of fruit and vegetable consumption, 2007 to 2014 (Health Report)","Fruit and vegetable consumption is recommended as part of a healthy diet. Fruit and vegetables are a source of vitamins and minerals, including folate, vitamin A, vitamin C, and carotenoids. They also provide fibre, which is important for digestive health. Diets that include fruit and vegetables have been linked to a lower risk of some chronic conditions, including cardiovascular disease, type 2 diabetes, and colorectal cancer. High consumption of fruit and vegetables suggests better diet quality. In 2014, Canadians reported consuming fruit and vegetables an average of 4.7 times a day, a slight, but significant, decrease from 5.0 times a day in 2007. The decrease over time was no longer significant when fruit juice was excluded (dropping to an average of 4.1 times a day in both years). Canadians drank less juice in 2014 than in 2007, a decline that was apparent across all age, sex and household income quintiles, all regions, and all weight categories. In 2014, Canadians who reported consuming fruit and vegetables 5 or more times a day tended to be female, in younger age groups, in the highest household income quintile, and neither overweight nor obese. Diet, dietary habits, eating, food intake, health behaviour, nutrition","https://www150.statcan.gc.ca/n1/pub/82-003-x/2018001/article/54901-eng.htm
",Consumption,Food Consumed,Stats Can
"Average frequency of fruit and vegetable consumption, including and excluding fruit juice, by sex, age group, household income, region and body mass index (BMI), household population aged 12 or older, Canada, 2007 and 2014
","Table 1
Average frequency of fruit and vegetable consumption, including and excluding fruit juice, by sex, age group, household income, region and body mass index (BMI), household population aged 12 or older, Canada, 2007 and 2014",https://www150.statcan.gc.ca/n1/pub/82-003-x/2018001/article/54901/tbl/tbl01-eng.htm,Consumption,Food Consumed,Stats Can
"Canadian Eating Habits (2004 Canadian Community Health Survey (CCHS))
","This report is an overview of Canadians’ eating habits: total calories consumed and the number of servings from the various food groups, as well as the percentage of total calories from fat, protein and carbohydrates.Although a minimum of five daily servings of vegetables and fruit is recommended, 7 out of 10 children aged 4 to 8 and half of adults did not meet this minimum in 2004. More than a third of 4- to 9-year-olds did not have the recommended two daily servings of milk products. Over a quarter of Canadians aged 31 to 50 obtained more than 35% of their total calories from fat. Snacks account for more calories than breakfast, and about the same number of calories as lunch. diet, dietary habits, eating, energy intake, food intake,
nutrition, nutrition surveys",https://www150.statcan.gc.ca/n1/pub/82-003-x/2006004/article/habit/9609-eng.pdf,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2016 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. Fruit and vegetable consumption provides an important source of vitamins, minerals and fiber, which may reduce the risk of heart disease and some types of cancer. In 2016, 30.0% of Canadians aged 12 and older (roughly 8.6 million people) reported that they had consumed fruits and vegetables five or more times per day. Females were more likely than males to report consuming fruits and
vegetables five or more times per day (36.9%, 22.9%). The proportion of males aged 12 and older who reported that they had consumed fruits and vegetables five or more times per day declined between 2015 and 2016 (24.8%, 22.9%),
while the proportion for females remained stable. In 2016, fruit and vegetable consumption among females was lowest among those aged 12 to 17 (30.5%) and highest among those aged 35-49 (40.4%). Conversely, consumption of fruit and vegetable among males was higher among the 12 to 17 year olds (27.7%) compared to those aged 35 and older (Chart 1). Comparisons by province indicated that Quebec had the highest proportion of residents who reported eating fruits
and vegetables at least five times daily (38.4%). Less than 1 in 5 (18.3%) respondents in Newfoundland and Labrador reported consuming fruits and vegetables 5 times a day. In 2016, fruit and vegetable consumption habits differed by the highest level of education attained by members of the household. When the highest level of completed education was below post-secondary, 24.1% of Canadians aged 12 and older ate fruits and vegetables five or more times per day. The proportion of people who consumed five or more fruits and vegetables per day was highest where post-secondary graduation was attained by a member of the household (31.7%). Fruit and vegetable consumption also varied by household income. The percentage of Canadians aged 12 and older who consumed fruits and vegetables at least five times daily was highest in households that fell within the highest income quintile (33.0%).  ","https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/54860-eng.htm
",Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2015 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2015, 31.5% of Canadians aged 12 and older, roughly 9 million people, reported that they had consumed fruits and vegetables five or more times per day.Note Females were more likely than males to report consuming fruits and vegetables five or more times per day. In 2015, 38.0% of females and 24.8% of males reported such consumption. Fruit and vegetable consumption provides an important source of vitamins, minerals and fiber, which may reduce the risk of heart disease and some types of cancer. In 2015, fruit and vegetable consumption was higher among males aged 12 to 17 (30.3%) compared to older males (around 24% for all other age groups), while females aged 12 to 17 (32.3%) reported a lower consumption of fruits and vegetables than older females (around 38% in the other age groups). The proportion of residents who reported eating fruits and vegetables at least five times daily was lower than the national average (31.5%) in: Newfoundland and Labrador (22.5%) Prince Edward Island (27.2%) Nova Scotia (25.3%) Ontario (28.7%) British Columbia (29.9%) The proportion of residents who reported eating fruits and vegetables at least five times daily was higher than the national average in Quebec (38.8%). The proportion of residents who reported eating fruits and vegetables at least five times daily was about the same as the national average in the other provinces. In 2015, fruit and vegetable consumption habits differed by the highest level of educationNote 5 attained by members of the household. When the highest level of education was below post-secondary, 24.3% of Canadians aged 12 and older ate fruits and vegetables five or more times per day. The proportion of people who consumed five or more fruits and vegetables per day was highest where post-secondary graduation was attained by a member of the household (33.4%). Fruit and vegetable consumption was also impacted by household income.Note 6 The percentage of Canadians aged 12 or older who consumed fruits and vegetables at least five times daily was lowest in households that fell within the lowest income quintile (27.4%). Consumption of fruits and vegetables among the other income quintiles did not differ from one another.
",https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/14764-eng.htm,Consumption,Food Consumed,Stats Can
